age,premium_amount,sum_assured,income,channel,product_type,cluster
27,39454,837212.500862947,1024610,0,4,1
60,27725,628782.1881149855,952442,0,3,4
79,28209,1047928.8485354818,6497822,1,2,0
30,7684,96182.90766778728,6341533,1,4,2
42,18448,375434.45421346027,7248213,1,1,5
29,6501,76246.02786572439,6811221,0,5,3
61,29030,579938.3524568472,5071725,0,1,4
62,15326,371063.1181921953,7962028,1,1,5
26,34671,773096.6677232925,3419078,0,3,1
36,33850,1321922.9745593553,8383737,0,4,1
44,32033,1155770.6147470332,153162,0,5,4
54,2366,112186.86754342073,1315005,1,4,2
39,6424,111386.14487012078,2867748,1,5,2
29,37790,1285358.2446459825,4498580,0,1,1
71,5984,174375.60470543473,5163571,0,3,3
31,16944,740338.0506627687,8770894,0,1,3
23,19556,729794.4028540994,5541323,0,0,3
52,6497,119399.57868308396,2708617,0,3,4
43,2674,101794.07176873017,9171766,0,0,3
46,1924,74949.29616581381,8165107,1,2,5
78,43250,1623663.492414001,3144478,0,5,1
50,25092,598034.8733781072,9674252,0,1,3
27,3630,101410.146522232,4585861,1,3,2
21,25507,749547.5480471305,4549023,1,2,5
48,25410,508817.7573487972,2832355,0,5,4
52,46801,1912374.3559782333,2443136,0,0,1
28,5440,96426.28044155176,8880112,1,3,2
49,21629,316005.4769850755,5252921,0,0,3
26,3453,160571.80650480808,2143665,1,2,5
24,24445,1085011.0488111083,262358,1,0,5
72,11431,279040.2958613712,9363573,0,3,3
38,33339,793361.7456716325,7343329,0,0,1
56,13393,667363.5652436311,8542614,1,3,2
78,14310,361705.8426086689,9386683,0,4,3
74,34634,584140.2981706081,8332838,0,1,3
76,43408,1222001.351074721,9795684,1,3,0
64,48492,1377880.4642915495,3714839,1,5,0
59,36365,1723452.6331444208,6772559,1,2,0
61,27265,759282.8782935628,7208782,1,3,2
76,2825,51525.55054677897,9536782,0,3,3
46,23004,386691.18545525393,8200561,1,2,5
22,39173,436324.0156900519,1241572,1,4,2
71,35328,369563.7990002266,8599829,1,5,2
50,8700,195119.2474177889,924580,0,0,4
76,12924,307795.01992515515,8792594,1,2,5
21,23175,593447.9023963033,9348905,1,5,2
70,10114,181474.1392314655,6989095,1,1,5
57,21218,468346.7106361181,4442962,1,2,5
63,27513,929933.2551139116,3987139,0,2,1
47,2519,27407.441554891117,288518,0,5,4
43,5715,111752.62172655216,6799978,0,3,3
38,5441,147853.53392164106,233706,0,0,4
61,1054,32551.416426612315,7121253,1,1,5
24,12211,597359.7220814945,8742693,0,4,3
20,36043,1724651.1565924934,4477732,0,1,1
21,40565,1856729.9399488932,5905854,1,0,0
40,8280,268635.3654159315,4990989,0,1,3
28,26744,573447.4906172884,2679726,1,1,5
40,37706,1455778.9719499245,807575,1,4,0
72,36555,536243.9700561574,7908423,1,1,5
73,27709,1342791.282864479,2738282,0,4,1
23,38646,609080.6910873811,4797823,1,0,5
68,42602,1815716.2329596293,7539366,0,2,1
49,11148,262194.7560037056,9196845,1,2,5
72,4376,157099.1731927917,2646359,0,4,4
26,41727,2014744.7223873308,6464556,0,4,1
73,35360,1302613.0737758589,5710017,0,2,1
33,41799,1244986.934041282,5665656,0,5,1
52,41324,1346086.18628851,5122214,1,3,0
30,26610,1161545.758290419,9883107,0,1,3
77,16255,168276.5225083905,5013048,0,4,4
25,32257,1145148.5298517966,1670041,1,1,0
32,33108,990013.4809499828,8118164,1,3,0
76,19373,516960.3866155037,4236965,0,0,4
25,17435,475303.2081939274,6708470,1,3,2
77,35089,788138.9166825255,6047703,1,2,0
40,28692,1256843.1426837605,7080323,1,4,0
80,21000,669671.690262113,711497,0,5,4
68,42276,1253053.255523371,7665858,1,4,0
70,6610,133255.6804491923,3652595,1,4,2
77,2824,114058.56203665672,8210393,1,4,2
58,15719,589672.7178912874,444581,1,1,5
36,46032,1414024.491494638,1874450,0,2,1
23,42109,1376331.5112633584,2732139,1,3,0
68,28601,1094715.9549198437,894170,1,4,0
78,22200,881087.1497940243,4839040,0,5,4
38,9738,141835.227280468,4029427,0,0,4
68,16831,636052.0007507977,7949929,1,4,2
57,47243,721303.4450232665,2227924,0,4,1
51,16145,698724.7798784636,3730894,0,0,4
23,4117,104813.7010824009,7951988,1,3,2
36,30291,1297009.0893119108,4071248,0,2,1
21,11233,181829.78449334332,8417348,1,2,5
45,42942,985309.4681303852,5390291,0,3,1
49,2746,135261.50995294485,6724604,1,4,2
80,27336,611821.9701316615,2014409,1,1,5
50,42309,1087816.011821515,1000817,0,1,1
76,20972,606480.8208578771,9257239,0,1,3
74,30983,347474.0903165472,1987884,0,5,4
77,27713,560383.9688443135,2564089,1,3,2
25,26993,1222765.6863264788,5004526,0,5,1
42,26726,558482.7639908015,3186985,0,3,4
47,24615,861752.9365896535,4839101,1,2,5
32,13216,338801.86594378087,9312181,0,1,3
40,3742,73308.78649749428,6242342,0,1,3
59,21645,714022.6460675825,6105216,1,4,2
19,48563,618182.2908542258,9817927,1,0,0
70,41429,1281889.6324592629,4535024,0,1,1
22,37320,1760882.297536672,204233,0,4,1
30,8658,314401.0836645739,6571244,1,4,2
43,32291,477309.2820747228,2800382,1,5,2
48,30752,512192.61364165286,2891520,1,5,2
49,39082,418733.5255512425,4630184,0,3,1
34,20033,902857.3223081664,5721335,1,3,2
19,30674,980338.9915132388,4343620,0,0,1
29,30042,818452.9774707658,8764969,0,5,3
68,23483,556030.800520275,2721092,0,4,4
59,28677,917490.2022968286,8569670,0,3,3
22,14566,206432.7460958364,5130341,0,0,3
30,4857,131243.37102991316,5426233,1,0,5
50,15982,164945.18058387403,8987672,1,4,2
42,36195,1417660.9775319134,611331,1,1,0
36,23324,1020112.4927515768,4712966,1,0,5
50,2744,58904.06158335799,5558748,1,0,5
20,27477,658408.4630794688,9765656,1,0,5
55,21471,807699.338026592,1004311,0,1,4
27,12665,436447.8211281395,5638115,1,4,2
44,23867,333710.7362535173,5656748,1,2,5
24,48597,1608437.7727029307,4869274,0,1,1
44,3244,61859.94767486381,1902409,0,4,4
44,18352,740156.8735362454,2173498,0,3,4
50,26815,405402.0372739433,7915786,0,0,3
71,33094,372451.9228031808,8880423,0,1,3
43,32430,1063786.2862500483,9442664,0,3,1
41,8813,423649.4646557964,8718503,0,3,3
60,11394,114320.16535397973,1154152,1,1,5
56,44566,1686856.277309863,5727256,0,2,1
26,6615,255753.44201387063,7349875,0,2,3
43,8108,336170.1000896259,1055138,1,1,5
60,43132,1589246.700751196,8044689,0,1,1
50,10875,520518.7310652587,4788869,0,0,4
22,5179,236555.55989837856,6726075,0,5,3
71,19908,232797.09572701107,9258404,1,4,2
70,7973,319200.6073378195,9286262,1,4,2
