age,premium_amount,sum_assured,income,channel,cluster
52,10184,479287.6616933564,2720929,1,1
43,41006,1251992.565219108,1380188,0,3
31,35761,496791.644944297,9354695,0,4
20,35308,1665950.21647644,7270776,0,3
45,35340,603923.7467345508,2593779,1,0
30,36511,1752426.9331634538,2126077,1,0
41,49135,864784.4731746161,6702548,0,3
48,20355,1011577.3101577325,6732574,0,5
45,28201,762861.5825772404,4756191,0,4
24,12105,161646.41709980924,1790397,1,2
19,17097,348501.4828807124,6506011,0,4
52,36566,1530293.445478487,9731538,1,0
23,8102,348690.44219008693,4787959,1,2
53,38894,1016924.7873607504,9862148,1,0
18,19718,451594.7634147997,1099705,0,4
78,25535,340196.77181746875,8014058,0,5
70,6492,136734.07784783246,6948791,0,5
27,4852,108296.31162207684,9192893,1,2
33,13861,656740.9539261976,8052700,1,2
70,4670,136312.99663806465,933733,0,5
30,16108,253438.0755343761,6376068,1,2
69,40564,1138749.8907568897,4945574,0,3
55,12335,226045.95877040064,7456210,1,1
77,29863,1062955.9438456704,6729369,0,5
43,1991,34669.53241702125,1432788,1,2
35,1431,38355.89786870672,4313621,1,2
46,30958,344865.5909616491,5555407,1,2
19,29407,1334178.2746951303,9745164,0,3
45,5835,113580.77008078842,6060743,0,4
40,11176,225212.63453910896,402184,1,2
37,40546,615587.2491575532,6054936,0,3
63,31263,679449.4994223142,4631837,1,1
33,22458,270438.6440596424,3291308,1,2
48,24079,1100959.52660337,5998197,1,0
66,7554,250678.10234201272,4137160,1,1
51,36681,1139470.070391037,6925132,1,0
19,3397,156871.0465734295,4979353,0,4
43,21336,1024999.8149277203,4883594,1,2
49,25902,653273.1755729183,4291672,0,4
32,43947,2055980.84869036,4601569,1,0
40,34728,414983.88255247794,1161594,0,4
40,11484,474882.29318992735,6531979,0,4
44,39498,1229889.325758771,5870187,0,3
56,19862,826604.9401319502,577221,1,1
49,21028,1012453.1767596252,3453866,1,2
77,33200,1572194.033206396,4015870,1,0
20,40280,418897.30613063206,2188372,1,2
73,39986,1617771.8818061913,4090136,1,0
35,3109,143010.25366231657,3401132,0,4
29,48368,1073209.6070973568,5292732,1,0
73,48539,1185685.5406329678,9896704,0,3
57,19240,412729.0586984015,1882378,1,1
70,29398,468062.7449521747,2643418,0,5
18,17992,190337.0026154273,642894,0,4
55,31533,1158669.196442749,7753930,0,3
45,40833,783670.372903972,5781367,1,0
70,4761,152970.2278214903,2473432,0,5
18,31391,882104.9934139882,995546,0,4
70,45124,2203059.7065359093,5589655,1,0
32,6177,229459.58389996763,3777426,1,2
36,49402,1559486.8128370582,4759076,1,0
30,22230,718856.0791316363,1443280,0,4
43,27109,926874.3480396256,8305016,1,0
60,35681,1066624.9183902116,2225784,0,3
24,20896,255083.54294979805,2697388,0,4
73,40278,624818.1478007201,9850822,1,1
39,37137,1482413.558822966,6867285,0,3
64,45371,732519.1936706753,250445,0,3
29,29248,466699.4445547346,2073176,0,4
64,43190,2135705.35683387,7298620,0,3
79,38005,486742.7992203756,1810567,1,1
50,15060,231315.38884159672,4133416,1,1
78,49286,554181.4555846609,5995262,1,0
21,37379,927665.4995874004,5949979,1,0
33,37855,1809017.6831041467,7446393,0,3
71,9440,419827.1940082447,9266998,0,5
48,17010,357695.12741040555,4384788,0,4
50,48420,699912.2775123119,311421,1,0
63,21954,491125.3341679401,483233,1,1
53,18516,461715.2829772392,3747169,0,5
32,21944,1027182.8652958109,2907234,0,4
43,13896,573685.9195971038,1211191,0,4
53,23560,377672.22456942673,578780,1,1
41,1900,36101.085250604,4895658,0,4
21,29561,389814.0478754141,2456521,0,4
18,21407,928076.1124448231,1873800,1,2
71,45353,1698094.6710415229,160720,0,3
41,48021,1574247.208113867,6347793,0,3
79,4660,132234.2026964233,6555161,1,1
34,43789,2042042.4685006065,1731678,0,3
43,31227,1108163.561377894,4911190,1,0
65,35701,1349013.7453382972,5196907,0,3
52,49026,1139445.200244068,5544833,1,0
58,23474,1018948.7887107288,5353023,0,5
69,27542,622133.6536438114,9090909,0,5
67,19516,256931.3334671383,6223028,1,1
76,32325,1437017.8712483002,9623822,1,0
23,4093,152665.71390386176,7671800,1,2
79,2315,89977.95633133927,4057087,1,1
38,19256,500627.5469529379,389083,0,4
33,1577,57586.5643031048,4525168,0,4
49,31960,1136998.3074758868,8155509,0,3
39,10733,122825.95665209026,9661253,0,4
20,28577,782601.2753315531,3825757,0,4
22,7848,155186.11574672573,9921653,1,2
78,36548,1359676.4457719636,2129077,0,3
50,28556,376845.6376946959,4042251,1,1
75,2908,97252.7711875952,4044051,0,5
23,3100,79806.60405025602,5270220,1,2
18,43356,977174.9180845995,324525,1,0
40,11948,133796.63413111208,7080302,0,4
27,12661,605644.1244222745,6594790,0,4
49,27069,308096.903944304,3909720,1,2
49,45761,1224790.8439917248,4677866,0,3
47,39219,1369597.3457019203,6964929,0,3
28,15180,550694.3435953239,4939808,1,2
53,44476,1456591.0134672637,386406,1,0
26,27274,1060326.5516033452,9958333,1,2
49,28144,1272069.0088370235,1855010,0,3
41,18367,634852.1255092549,8508385,1,2
60,33337,652986.446108461,1075911,1,1
26,49120,2171283.0753021687,9533108,1,0
18,2173,104149.668249119,7745866,0,4
63,40569,1369522.9691534855,8699658,0,3
62,33505,1599074.3620802693,6982358,0,3
36,34247,1101914.041514037,387468,1,0
60,36725,633809.0877036721,4795199,1,0
69,15160,470908.62576214346,9998128,1,1
46,35791,1484451.9497570607,9378787,1,0
68,48880,1259391.6331721446,958622,0,3
76,15450,366567.0706139017,9510162,1,1
65,37797,1375766.922095505,1066831,0,3
70,29170,1320029.8106302032,3720928,0,3
27,33884,1647459.2426640508,6703344,0,3
69,2263,102926.11014383848,6399109,0,5
41,5886,213762.1920847338,9426339,0,4
79,18536,549290.0088993704,8999391,0,5
20,21451,788480.3479552281,7536775,0,4
60,48022,660155.7960678814,6893029,0,3
69,7190,208724.6385735295,7781771,0,5
48,47250,933773.3574121612,2991683,0,3
53,32540,1196165.3611013435,7655317,1,0
66,26489,1261839.3002121346,2547595,0,3
37,11002,257861.30519024015,7639841,0,4
61,23522,670888.0540304608,3941115,0,5
33,4319,94000.19285385303,5290403,0,4
77,1011,34824.38397302025,8619161,0,5
33,46655,904282.3694734006,1983472,1,0
32,12617,543487.8988182487,1816165,1,2
72,14295,513795.9003483153,3029819,0,5
76,26200,1046004.9877919405,4654124,1,1
53,45723,1491881.5134139254,2084897,0,3
20,6159,73407.28739852404,4759373,0,4
50,10977,423745.5194762735,2415582,1,1
60,31531,1132588.890446941,826103,0,3
61,20582,292462.5897583031,8929141,1,1
35,26328,689458.4512630971,4253997,1,2
53,48698,1123677.827442808,9920057,1,0
47,28173,915024.3273165404,2375138,0,3
21,7902,272875.3237000652,6780579,0,4
78,28266,455257.1297910091,477609,0,5
45,5999,177788.34692805933,1900177,0,4
65,38285,779478.8332270872,2982158,0,3
21,31659,557202.1610423339,593400,0,4
49,33395,1481923.9271508555,7998602,1,0
72,20335,342495.5121324221,142768,1,1
78,5607,127936.7350282645,2923937,0,5
54,14008,600767.0043852935,7857512,0,5
30,39893,1716905.213633962,2235506,0,3
55,2392,90653.5601680198,6865589,1,1
36,4617,88013.7659907157,6567847,1,2
39,12462,371407.8080428083,6643183,1,2
62,49569,708266.4804754865,5187154,0,3
33,22322,936743.1685790336,286782,1,2
47,41993,1272521.1149197102,7659169,0,3
72,42463,926618.5772283502,4300712,1,0
79,30522,1413632.2445480507,1209408,0,3
29,2203,53694.83773275917,2281979,0,4
60,11860,137484.28352917978,7474778,1,1
79,21334,564684.6406263789,733308,1,1
74,33526,388408.0158579253,4663295,0,5
58,4872,197504.82943925745,7765336,0,5
62,29623,539568.4453825643,3383715,0,5
76,21163,310145.1158407445,6264629,0,5
60,49523,1472957.6711240392,3626341,0,3
71,43479,953454.8230668444,3397050,1,0
67,17065,609268.2137529877,6420934,0,5
59,11809,124122.82689712664,6634455,0,5
20,25632,352852.8917744558,2814681,1,2
59,21535,274339.1271114375,4165293,0,5
26,21306,356179.1037967458,2661250,0,4
54,44750,468695.72396603134,8701148,0,3
36,32910,950616.4134082472,919685,0,3
25,15182,240147.4868340749,6859046,0,4
57,49113,789409.9058641015,4855322,1,0
41,33588,1474538.58741121,6847323,0,3
76,15708,507681.86467263737,1979078,1,1
55,2909,78709.33135288507,778428,0,5
74,29382,1438528.804041554,6549866,0,3
22,10470,329037.6060232225,4108232,0,4
45,30310,1281106.3667114433,4713977,0,3
48,27773,892451.3397301926,4195460,1,0
35,21183,433175.4270487095,6856016,1,2
70,28122,432975.2641633869,2286597,1,1
78,44214,1883867.0597848403,2819132,1,0
71,48362,892942.041701193,2935568,1,0
77,22245,1038969.0124902744,9322926,0,5
34,26738,273411.64277264755,9263778,1,2
47,1562,17273.38443046496,4681783,0,4
19,13291,405963.7606304125,2022237,0,4
70,46720,2313261.096965756,9639972,0,3
58,29092,798243.7946946493,4113461,1,1
77,15380,413493.354789141,1456735,1,1
63,11576,139955.34393646222,8174820,1,1
19,42627,721699.8664448663,4649672,1,0
75,16521,655674.5227374671,9230323,0,5
39,41230,1545956.9706680088,6796851,1,0
36,24031,966259.1370725844,9696363,1,2
66,37400,1184896.400796805,4011079,0,3
40,7321,219330.3155313536,4769515,0,4
80,36022,947882.6051094494,7977847,0,5
37,20311,999268.7565718712,2865102,1,2
70,33864,489038.2031582107,1307459,1,1
60,7738,332961.6923547412,7622351,1,1
55,31065,453440.8762239772,5941081,1,1
30,40187,452425.1024648895,5184593,0,4
46,23066,688136.4252030123,8077458,0,5
32,31651,1389458.6760207547,1074326,1,0
64,30516,616797.82915593,5819096,1,1
77,5887,292586.03495044564,6021075,1,1
67,17724,179175.88077937593,1835815,1,1
59,45740,1482140.0100498032,9395195,0,3
63,19549,799721.5628311926,6450816,0,5
61,11837,274587.38538296364,1016312,0,5
71,11674,141066.76751593084,7705539,0,5
65,23524,810103.6078256513,5568922,1,1
61,23966,1102901.392710142,9892993,0,5
55,45847,1597608.9272371584,4375340,1,0
74,12292,448495.9283171142,3968337,1,1
44,23135,919175.6332453544,9869071,0,5
22,6331,131108.13555562278,5063297,1,2
72,32044,527951.8232407491,8726491,1,1
38,36992,406167.7514995989,5025892,1,2
32,31808,485473.991155033,3889271,1,2
69,40045,1053277.1297993823,3959782,0,3
73,34566,1422795.3464751907,7043957,1,0
33,32560,406798.5886816903,5545781,1,2
35,18563,880910.601508776,6065562,0,4
55,6447,159565.70019407236,2900682,0,5
72,35389,1566779.504558183,2864799,1,0
54,49841,1750927.9263817484,670129,0,3
25,3439,166408.4645657314,3412772,1,2
56,48232,1731668.100811753,1464187,0,3
73,6436,277623.8406312151,743291,1,1
43,37605,520003.7190570271,6643959,1,0
53,24115,905121.8427025392,4286186,0,5
48,8524,123739.61347121758,103963,0,4
37,21424,313941.8312675155,8451046,0,4
76,10590,248644.4958537292,7972801,0,5
56,47397,2291893.17072539,5490928,1,0
59,19087,365714.2769353585,2765827,1,1
29,19792,365977.5752066936,2976054,1,2
27,43518,650413.8588844021,9156473,0,3
33,17325,292507.66116356186,8888045,1,2
50,30008,1445508.4169346024,9133106,0,3
63,47250,1649304.5035974958,544242,1,0
34,31852,489900.1161739456,1781845,0,4
36,5286,216027.83259792437,3423980,0,4
71,30754,1430245.865093425,8072150,0,3
37,35600,790691.3949618154,6359045,0,3
52,27681,406712.0797076401,7234945,1,1
49,24033,667340.3056766284,2085642,0,4
29,35344,1024321.544697098,7217244,1,0
26,21524,838943.9980675508,2054752,0,4
33,4319,204404.1589535945,184454,0,4
51,4722,122068.3390433511,7669516,1,1
46,43530,787610.746019849,5295478,0,3
37,6682,239202.5781440025,7754378,0,4
42,46248,1442266.4756470188,6722850,1,0
74,23542,492201.03733747086,564826,1,1
73,1769,48092.382885745785,9402621,1,1
34,49505,1117932.9159343871,8358198,1,0
48,14926,438569.3240549662,7768149,1,1
23,49520,2424700.538887591,4605625,1,0
65,18620,904436.6591418802,4752810,0,5
56,34717,782568.9370028651,3287119,1,0
52,17572,288420.31626813114,3912751,0,5
64,12064,465818.8308723666,8492850,1,1
19,20463,239622.55164534337,5377993,0,4
54,26078,823477.1250122987,308284,1,1
69,26453,1028403.0266795168,4260195,1,1
78,18373,836263.6991844714,9908463,1,1
74,40890,1359387.8014349688,4765198,1,0
80,27971,808310.3245115675,7768224,1,1
26,48143,2299993.947175042,5885420,0,3
38,8403,395194.93886271416,2640943,0,4
73,35478,1330143.700505745,7493751,1,0
30,33435,1445445.238530276,5603836,0,3
62,15279,519788.2173756147,2321986,1,1
56,13205,471397.1614811115,2067313,0,5
70,48198,810601.9627874445,6184298,0,3
64,7908,152838.15293806983,2998880,1,1
18,35182,775395.4277382687,2067762,1,2
50,6034,236802.44501513577,5251321,0,5
26,24506,414103.1028259573,8690719,0,4
37,12772,220756.50982424789,7273113,0,4
27,6446,319566.5222056989,2118280,0,4
61,14228,313997.7232560435,3427092,1,1
27,45498,1448113.41496603,9318215,1,0
43,40112,1186354.9066190256,5461982,0,3
46,26914,745582.8116378279,594653,1,2
33,20809,265662.0699492935,3538697,0,4
57,28107,964972.9563500996,7903685,0,3
55,31683,1549830.613144674,5106362,1,0
54,15124,394537.9513833762,2469412,1,1
30,7145,346780.60549653467,3534635,1,2
67,30449,442516.9245414395,8571470,1,1
21,49080,789944.788247904,3442368,0,3
52,32875,969496.4279441414,1626593,1,0
75,14738,367720.2636575118,5186994,1,1
41,42589,1334704.5960571568,2171211,1,0
43,27024,744945.9171013226,3292642,0,4
48,40789,1349294.968339329,4811533,1,0
31,3375,77286.36476381318,339102,1,2
39,38126,668576.4754927075,6923400,0,3
36,41275,1262832.1845317252,6773982,1,0
69,34041,1388954.2357856436,9965475,0,3
43,29305,671620.396909873,2256922,1,2
74,10378,171315.6246940676,7819086,1,1
53,35421,1452655.6063698006,6160298,0,3
23,30667,991765.9952980056,5742501,1,2
22,42564,914267.0448379156,5523274,0,3
48,38815,1296506.7147632523,1738218,0,3
76,33339,647687.19700753,6726848,0,5
33,12794,633725.0286218408,7884198,0,4
39,15513,302117.3558537735,1495854,1,2
71,39451,1698375.520880421,4331022,1,0
